id_pekerjaan,id_perusahaan,gaji_rata-rata_perbulan,lamaran,diperbolehkan_jarak_jauh,id_industri,jumlah_karyawan,periode_pembayaran_encoded,tingkat_pengalaman_terformat_encoded,tipe_pendaftaran_encoded,skill_1_encoded,skill_2_encoded,skill_3_encoded,judul_encoded,nama_industri_encoded,nama_perusahaan_encoded,negara_encoded,jenis_pekerjaan_Contract,jenis_pekerjaan_Full-time,jenis_pekerjaan_Internship,jenis_pekerjaan_Other,jenis_pekerjaan_Part-time,jenis_pekerjaan_Temporary,jenis_pekerjaan_Volunteer,tipe_kompensasi_rp,mata_uang_rp
3757922385,74016,6250.0,0,False,44,2088,5,3,3,23,36,36,9974,57,3178,51,0,1,0,0,0,0,0,1,1
3757922384,74016,6250.0,0,False,44,2088,5,3,3,23,36,36,3708,57,3178,51,0,1,0,0,0,0,0,1,1
3757922135,2957445,12716.708333333334,12,False,30,737,5,2,1,27,34,36,7250,69,3217,39,0,1,0,0,0,0,0,1,1
3757922078,7170,5434.88,12,True,53,1836,2,2,1,30,20,36,17727,51,5637,51,0,1,0,0,0,0,0,1,1
3757922052,26168,7062.5,0,False,53,2917,5,3,1,23,24,36,1910,51,2736,51,0,1,0,0,0,0,0,1,1
3757922052,26168,3647.6,0,False,27,2917,2,3,1,23,24,36,1910,61,2736,51,0,1,0,0,0,0,0,1,1
3757922052,26168,8750.0,0,False,43,2917,5,3,1,23,24,36,1910,27,2736,51,0,1,0,0,0,0,0,1,1
3757921575,77156037,5208.333333333333,0,False,27,31,5,2,3,16,3,6,13148,61,8979,51,0,1,0,0,0,0,0,1,1
3757921575,77156037,5208.333333333333,0,False,19,31,5,4,3,16,3,6,13148,62,8979,51,0,1,0,0,0,0,0,1,1
3757921570,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757921539,1595517,10625.0,0,False,104,89,5,4,1,31,36,36,7229,65,7125,20,0,1,0,0,0,0,0,1,1
3757921496,74016,6250.0,0,False,44,2088,5,3,3,23,36,36,823,57,3178,51,0,1,0,0,0,0,0,1,1
