id_pekerjaan,id_perusahaan,gaji_rata-rata_perbulan,lamaran,diperbolehkan_jarak_jauh,id_industri,jumlah_karyawan,periode_pembayaran_encoded,tingkat_pengalaman_terformat_encoded,tipe_pendaftaran_encoded,singkatan_kemampuanencoded,judul_encoded,nama_perusahaan_encoded,negara_encoded,jenis_pekerjaan_terformat_encoded,tipe_kompensasi_rp,mata_uang_rp,nama_industri_encoded
3757452114,777243,7500.0,0,False,47,329,5,3,3,30,16033,723,48,2,1,1,1
3757452111,4983,7500.0,1,False,47,12574,5,4,1,30,1496,8091,48,2,1,1,1
3757452111,4983,7500.0,1,False,47,12574,5,4,1,35,1496,8091,48,2,1,1,1
3757452111,4983,7500.0,1,False,47,12574,5,4,1,17,1496,8091,48,2,1,1,1
3757452110,777243,7500.0,0,False,47,329,5,3,3,30,16033,723,48,2,1,1,1
3757452086,777243,7500.0,0,False,47,329,5,4,3,20,559,723,48,2,1,1,1
3757452086,777243,7500.0,0,False,47,329,5,4,3,30,559,723,48,2,1,1,1
3757452086,777243,7500.0,0,False,47,329,5,4,3,19,559,723,48,2,1,1,1
3757452011,777243,7500.0,1,True,47,329,5,3,3,30,17776,723,48,2,1,1,1
3757452011,777243,7500.0,1,True,47,329,5,3,3,35,17776,723,48,2,1,1,1
3757452011,777243,7500.0,1,True,47,329,5,3,3,20,17776,723,48,2,1,1,1
3757451167,777243,7500.0,1,False,47,329,5,3,3,30,16033,723,48,2,1,1,1
3757451004,777243,7500.0,2,False,47,329,5,6,3,30,1713,723,48,2,1,1,1
3757451004,777243,7500.0,2,False,47,329,5,6,3,20,1713,723,48,2,1,1,1
3757450575,777243,7500.0,0,False,47,329,5,3,3,30,16035,723,48,2,1,1,1
3757450529,777243,7500.0,0,False,47,329,5,4,3,30,16032,723,48,2,1,1,1
3757449609,777243,7500.0,0,False,47,329,5,3,3,30,16033,723,48,2,1,1,1
3757449602,2913349,7500.0,0,False,47,135,5,4,3,23,17741,1135,48,2,1,1,1
3757449602,2913349,7500.0,0,False,47,135,5,4,3,30,17741,1135,48,2,1,1,1
3757449600,777243,7500.0,1,False,47,329,5,3,3,30,16035,723,48,2,1,1,1
3757449531,777243,7500.0,1,True,47,329,5,3,3,30,16034,723,48,2,1,1,1
3757449355,98497735,7500.0,0,False,47,1,5,4,3,20,18915,3698,48,2,1,1,1
3757449355,98497735,7500.0,0,False,47,1,5,4,3,21,18915,3698,48,2,1,1,1
3757449355,98497735,7500.0,0,False,47,1,5,4,3,30,18915,3698,48,2,1,1,1
3757449077,2166352,7500.0,0,False,47,62,5,4,3,30,16029,8909,48,2,1,1,1
3757449077,2166352,7500.0,0,False,47,62,5,4,3,20,16029,8909,48,2,1,1,1
3757446992,777243,7500.0,1,False,47,329,5,3,3,30,17728,723,48,2,1,1,1
3757446977,777243,7500.0,0,False,47,329,5,3,3,30,16033,723,48,2,1,1,1
3757446620,2401260,8125.0,0,False,47,11,5,4,3,30,14997,1007,48,2,1,1,1
3757446620,2401260,8125.0,0,False,47,11,5,4,3,20,14997,1007,48,2,1,1,1
3757445757,2166352,7500.0,0,False,47,62,5,4,3,20,557,8909,48,2,1,1,1
3757445757,2166352,7500.0,0,False,47,62,5,4,3,30,557,8909,48,2,1,1,1
3757444858,2166352,7500.0,0,False,47,62,5,4,3,30,16083,8909,48,2,1,1,1
3757444858,2166352,7500.0,0,False,47,62,5,4,3,20,16083,8909,48,2,1,1,1
3757444343,122451,7500.0,1,False,47,637,2,4,3,34,10440,7974,48,1,1,1,1
3757444343,122451,7500.0,1,False,47,637,2,4,3,30,10440,7974,48,1,1,1,1
3757444343,122451,7500.0,1,False,47,637,2,4,3,20,10440,7974,48,1,1,1,1
3757443994,777243,7500.0,4,True,47,329,5,4,3,30,17742,723,48,2,1,1,1
3757443994,777243,7500.0,4,True,47,329,5,4,3,35,17742,723,48,2,1,1,1
3757443994,777243,7500.0,4,True,47,329,5,4,3,20,17742,723,48,2,1,1,1
3757437720,18043,4048.0,3,False,47,1907,2,3,3,35,663,301,48,2,1,1,1
3757437720,18043,4048.0,3,False,47,1907,2,3,3,30,663,301,48,2,1,1,1
3757435778,777243,6041.666666666667,0,False,47,329,5,3,3,30,17091,723,48,2,1,1,1
3757435778,777243,6041.666666666667,0,False,47,329,5,3,3,35,17091,723,48,2,1,1,1
